gene id	miRNA
1996	hsa-miR-137
22996	hsa-miR-100-5p
22996	hsa-miR-374a-5p
22996	hsa-miR-27a-3p
4898	hsa-miR-23b-3p
114883	hsa-miR-374a-5p
2060	hsa-miR-30b-5p
23318	hsa-miR-27a-3p
440590	hsa-miR-21-5p
440590	hsa-miR-374a-5p
9372	hsa-miR-30b-5p
9372	hsa-miR-23b-3p
200014	hsa-miR-137
148979	hsa-miR-27a-3p
7804	hsa-miR-98-5p
7804	hsa-miR-372-3p
7804	hsa-miR-520f-3p
7804	hsa-miR-23b-3p
26027	hsa-miR-374a-5p
26027	hsa-miR-27a-3p
26027	hsa-miR-139-5p
606495	hsa-miR-137
732	hsa-miR-222-3p
8613	hsa-miR-30e-3p
8613	hsa-miR-520f-3p
8613	hsa-miR-374a-5p
8613	hsa-miR-139-5p
5563	hsa-miR-376a-5p
5563	hsa-let-7d-5p
5563	hsa-miR-137
199920	hsa-miR-374a-5p
51361	hsa-miR-374a-5p
10207	hsa-miR-376a-5p
10207	hsa-let-7d-5p
10207	hsa-miR-30b-5p
10207	hsa-miR-374a-5p
10207	hsa-miR-27a-3p
163782	hsa-miR-32-5p
163782	hsa-miR-455-5p
4919	hsa-miR-193b-3p
4919	hsa-miR-147a
4919	hsa-miR-137
5236	hsa-miR-10a-5p
205	hsa-let-7d-5p
3716	hsa-miR-302a-3p
3716	hsa-miR-520f-3p
3716	hsa-miR-374a-5p
9829	hsa-miR-376a-5p
9829	hsa-miR-27a-3p
9829	hsa-miR-122-5p
9829	hsa-miR-23b-3p
55225	hsa-miR-520f-3p
55225	hsa-miR-137
5142	hsa-miR-30e-3p
5142	hsa-let-7d-5p
5142	hsa-miR-27a-3p
5142	hsa-miR-139-5p
149233	hsa-miR-34b-5p
149233	hsa-miR-34c-5p
149233	hsa-miR-137
149233	hsa-miR-139-5p
23169	hsa-miR-34b-5p
23169	hsa-miR-372-3p
23169	hsa-miR-374a-5p
79819	hsa-miR-374a-5p
79819	hsa-miR-23b-3p
79971	hsa-miR-520f-3p
79971	hsa-miR-23b-3p
55635	hsa-miR-520f-3p
55635	hsa-miR-21-5p
55635	hsa-miR-137
55635	hsa-miR-23b-3p
81573	hsa-miR-302a-3p
55631	hsa-miR-193b-3p
5733	hsa-miR-30a-3p
5733	hsa-miR-30d-5p
