gene id	miRNA 
84641	hsa-miR-125b-5p
84904	hsa-miR-125b-5p
126074	hsa-miR-125b-5p
27161	hsa-miR-125b-5p
126074	hsa-let-7a-5p
8634	hsa-let-7a-5p
23306	hsa-let-7a-5p
116028	hsa-let-7a-5p
140711	hsa-let-7a-5p
647087	hsa-let-7a-5p
203522	hsa-let-7a-5p
441191	hsa-let-7a-5p
27161	hsa-miR-100-5p
57589	hsa-miR-200c-3p
255919	hsa-miR-200c-3p
56985	hsa-miR-200c-3p
8613	hsa-miR-200c-3p
55319	hsa-miR-200c-3p
170954	hsa-miR-200c-3p
91748	hsa-miR-200c-3p
80723	hsa-miR-200c-3p
26258	hsa-miR-200c-3p
23271	hsa-miR-200c-3p
11041	hsa-miR-200c-3p
64645	hsa-miR-141-3p
91526	hsa-miR-141-3p
4297	hsa-miR-141-3p
23266	hsa-miR-141-3p
84437	hsa-miR-141-3p
23271	hsa-miR-141-3p
58508	hsa-miR-141-3p
51669	hsa-miR-141-3p
51669	hsa-miR-196a-5p
79960	hsa-miR-196a-5p
23731	hsa-miR-196a-5p
387640	hsa-miR-148b-3p
192670	hsa-miR-148b-3p
23266	hsa-miR-148b-3p
9798	hsa-miR-148b-3p
151963	hsa-miR-148b-3p
9711	hsa-miR-148b-3p
285203	hsa-miR-148b-3p
81671	hsa-miR-148b-3p
64207	hsa-miR-148b-3p
201627	hsa-miR-148b-3p
64859	hsa-miR-148b-3p
80195	hsa-miR-26a-5p
805	hsa-miR-26a-5p
6307	hsa-miR-26a-5p
10175	hsa-miR-26a-5p
220042	hsa-miR-26a-5p
79624	hsa-let-7i-5p
140688	hsa-let-7i-5p
126074	hsa-let-7i-5p
54471	hsa-let-7i-5p
11261	hsa-let-7i-5p
58508	hsa-let-7i-5p
54994	hsa-let-7i-5p
7746	hsa-let-7i-5p
56851	hsa-miR-135a-5p
221710	hsa-miR-135a-5p
10175	hsa-miR-135a-5p
30001	hsa-miR-135a-5p
285203	hsa-miR-320d
6307	hsa-miR-320d
153222	hsa-miR-16-5p
56160	hsa-miR-16-5p
26523	hsa-miR-16-5p
286343	hsa-miR-16-5p
8613	hsa-miR-16-5p
64762	hsa-miR-16-5p
9798	hsa-miR-16-5p
120534	hsa-miR-16-5p
65124	hsa-miR-16-5p
116224	hsa-miR-16-5p
56181	hsa-miR-16-5p
64207	hsa-miR-16-5p
79817	hsa-miR-16-5p
58508	hsa-miR-16-5p
23731	hsa-miR-16-5p
8611	hsa-miR-16-5p
57589	hsa-miR-15a-5p
9870	hsa-miR-15a-5p
153222	hsa-miR-15a-5p
56160	hsa-miR-15a-5p
26523	hsa-miR-15a-5p
143384	hsa-miR-15a-5p
23199	hsa-miR-15a-5p
286343	hsa-miR-15a-5p
8613	hsa-miR-15a-5p
64762	hsa-miR-15a-5p
4297	hsa-miR-15a-5p
192670	hsa-miR-15a-5p
9798	hsa-miR-15a-5p
120534	hsa-miR-15a-5p
25843	hsa-miR-15a-5p
23063	hsa-miR-15a-5p
51111	hsa-miR-15a-5p
65124	hsa-miR-15a-5p
23379	hsa-miR-15a-5p
116224	hsa-miR-15a-5p
50810	hsa-miR-15a-5p
51495	hsa-miR-15a-5p
64207	hsa-miR-15a-5p
139285	hsa-miR-15a-5p
221710	hsa-miR-15a-5p
79817	hsa-miR-15a-5p
27042	hsa-miR-15a-5p
6734	hsa-miR-15a-5p
11261	hsa-miR-15a-5p
8085	hsa-miR-15a-5p
58508	hsa-miR-15a-5p
23731	hsa-miR-15a-5p
8611	hsa-miR-15a-5p
79624	hsa-miR-17-5p
9813	hsa-miR-17-5p
153222	hsa-miR-17-5p
64645	hsa-miR-17-5p
11245	hsa-miR-17-5p
143384	hsa-miR-17-5p
729515	hsa-miR-17-5p
154743	hsa-miR-17-5p
4297	hsa-miR-17-5p
129285	hsa-miR-17-5p
55783	hsa-miR-17-5p
65124	hsa-miR-17-5p
286097	hsa-miR-17-5p
147947	hsa-miR-17-5p
54462	hsa-miR-17-5p
55177	hsa-miR-17-5p
26258	hsa-miR-17-5p
2909	hsa-miR-17-5p
55004	hsa-miR-17-5p
9766	hsa-miR-17-5p
10472	hsa-miR-17-5p
58508	hsa-miR-17-5p
51669	hsa-miR-17-5p
49854	hsa-miR-17-5p
259282	hsa-miR-17-5p
168455	hsa-miR-17-5p
64145	hsa-miR-17-5p
9798	hsa-miR-17-3p
153222	hsa-miR-18a-5p
64645	hsa-miR-18a-5p
154743	hsa-miR-18a-5p
8649	hsa-miR-18a-5p
55783	hsa-miR-18a-5p
93550	hsa-miR-18a-5p
116224	hsa-miR-18a-5p
26258	hsa-miR-18a-5p
10207	hsa-miR-18a-5p
647979	hsa-miR-18a-5p
8611	hsa-miR-18a-5p
55845	hsa-miR-19a-3p
255919	hsa-miR-19a-3p
56946	hsa-miR-19a-3p
9731	hsa-miR-19a-3p
9813	hsa-miR-19a-3p
163859	hsa-miR-19a-3p
153222	hsa-miR-19a-3p
64645	hsa-miR-19a-3p
56851	hsa-miR-19a-3p
51776	hsa-miR-19a-3p
154743	hsa-miR-19a-3p
58489	hsa-miR-19a-3p
8503	hsa-miR-19a-3p
84418	hsa-miR-19a-3p
23266	hsa-miR-19a-3p
54838	hsa-miR-19a-3p
57221	hsa-miR-19a-3p
285203	hsa-miR-19a-3p
54462	hsa-miR-19a-3p
64207	hsa-miR-19a-3p
56204	hsa-miR-19a-3p
201627	hsa-miR-19a-3p
23271	hsa-miR-19a-3p
26148	hsa-miR-19a-3p
58508	hsa-miR-19a-3p
79960	hsa-miR-19a-3p
49854	hsa-miR-19a-3p
51652	hsa-miR-19a-3p
79624	hsa-miR-20a-5p
56946	hsa-miR-20a-5p
9813	hsa-miR-20a-5p
153222	hsa-miR-20a-5p
64645	hsa-miR-20a-5p
11245	hsa-miR-20a-5p
143384	hsa-miR-20a-5p
8649	hsa-miR-20a-5p
286097	hsa-miR-20a-5p
147947	hsa-miR-20a-5p
54462	hsa-miR-20a-5p
55177	hsa-miR-20a-5p
26258	hsa-miR-20a-5p
2909	hsa-miR-20a-5p
23271	hsa-miR-20a-5p
55004	hsa-miR-20a-5p
6307	hsa-miR-20a-5p
9766	hsa-miR-20a-5p
58493	hsa-miR-20a-5p
23376	hsa-miR-20a-5p
79018	hsa-miR-20a-5p
10472	hsa-miR-20a-5p
51669	hsa-miR-20a-5p
49854	hsa-miR-20a-5p
259282	hsa-miR-20a-5p
168455	hsa-miR-20a-5p
64145	hsa-miR-20a-5p
55845	hsa-miR-19b-3p
255919	hsa-miR-19b-3p
79624	hsa-miR-19b-3p
51527	hsa-miR-19b-3p
56946	hsa-miR-19b-3p
9731	hsa-miR-19b-3p
153222	hsa-miR-19b-3p
64645	hsa-miR-19b-3p
56851	hsa-miR-19b-3p
51776	hsa-miR-19b-3p
143384	hsa-miR-19b-3p
83606	hsa-miR-19b-3p
154743	hsa-miR-19b-3p
58489	hsa-miR-19b-3p
8503	hsa-miR-19b-3p
805	hsa-miR-19b-3p
64762	hsa-miR-19b-3p
84418	hsa-miR-19b-3p
23266	hsa-miR-19b-3p
54838	hsa-miR-19b-3p
57221	hsa-miR-19b-3p
285203	hsa-miR-19b-3p
54462	hsa-miR-19b-3p
64207	hsa-miR-19b-3p
23271	hsa-miR-19b-3p
6307	hsa-miR-19b-3p
26148	hsa-miR-19b-3p
58508	hsa-miR-19b-3p
79960	hsa-miR-19b-3p
49854	hsa-miR-19b-3p
51652	hsa-miR-19b-3p
92597	hsa-miR-19b-3p
57589	hsa-miR-92a-3p
255919	hsa-miR-92a-3p
55088	hsa-miR-92a-3p
286343	hsa-miR-92a-3p
8613	hsa-miR-92a-3p
10536	hsa-miR-92a-3p
444	hsa-miR-92a-3p
26128	hsa-miR-92a-3p
80723	hsa-miR-92a-3p
54462	hsa-miR-92a-3p
56204	hsa-miR-92a-3p
6734	hsa-miR-92a-3p
26099	hsa-miR-92a-3p
51714	hsa-miR-92a-3p
2802	hsa-miR-92a-3p
51776	hsa-miR-342-3p
4297	hsa-miR-342-3p
9414	hsa-miR-342-3p
222166	hsa-miR-342-3p
84418	hsa-miR-431-5p
55706	hsa-miR-433-3p
9414	hsa-miR-432-5p
285512	hsa-miR-432-5p
30001	hsa-miR-136-5p
79682	hsa-miR-379-5p
79682	hsa-miR-411-5p
55571	hsa-miR-411-5p
55181	hsa-miR-411-5p
153222	hsa-miR-299-3p
9991	hsa-miR-494-3p
284058	hsa-miR-494-3p
9847	hsa-miR-543
153222	hsa-miR-495-3p
58497	hsa-miR-495-3p
58489	hsa-miR-495-3p
51012	hsa-miR-495-3p
57589	hsa-miR-376c-3p
153222	hsa-miR-376c-3p
84060	hsa-miR-376c-3p
8613	hsa-miR-376a-3p
8613	hsa-miR-376b-3p
84641	hsa-miR-376b-3p
51495	hsa-miR-376b-3p
29956	hsa-miR-376b-3p
58508	hsa-miR-376b-3p
51251	hsa-miR-381-3p
11143	hsa-miR-381-3p
55571	hsa-miR-381-3p
9847	hsa-miR-539-5p
84418	hsa-miR-539-5p
51669	hsa-miR-539-5p
84060	hsa-miR-539-5p
8725	hsa-miR-382-5p
57035	hsa-miR-496
10472	hsa-miR-409-3p
9694	hsa-miR-410-3p
84060	hsa-miR-410-3p
79624	hsa-miR-203a-3p
64645	hsa-miR-203a-3p
51776	hsa-miR-203a-3p
8613	hsa-miR-203a-3p
91526	hsa-miR-203a-3p
4297	hsa-miR-203a-3p
55069	hsa-miR-203a-3p
63915	hsa-miR-203a-3p
56181	hsa-miR-203a-3p
54462	hsa-miR-203a-3p
201627	hsa-miR-203a-3p
79161	hsa-miR-203a-3p
27161	hsa-miR-184
64397	hsa-miR-7-5p
23266	hsa-miR-7-5p
54462	hsa-miR-7-5p
9766	hsa-miR-7-5p
11261	hsa-miR-7-5p
79960	hsa-miR-7-5p
64145	hsa-miR-7-5p
9870	hsa-miR-193b-3p
153222	hsa-miR-193b-3p
4297	hsa-miR-193b-3p
79684	hsa-miR-193b-3p
23338	hsa-miR-193b-3p
55914	hsa-miR-193b-3p
9870	hsa-miR-365a-3p
221785	hsa-miR-365a-3p
79691	hsa-miR-365a-3p
